age,id,color,intake,sex,time
2 months,A710390,Black,Stray,Male,7
2 months,A710389,Black,Stray,Male,7
2 months,A710387,Brown Tabby,Stray,Female,7
2 months,A681904,Black and White,Stray,Female,7
1 year,A743719,Black,Stray,Male,7
2 months,A710802,Brown Tabby,Stray,Female,7
2 months,A679193,Black and White,Owner Surrender,Male,7
1 year,A729983,Blue,Stray,Female,7
2 months,A685688,Colourpoint,Stray,Female,7
1 year,A735935,Brown Tabby,Stray,Male,7
4 months,A764750,Torbie,Stray,Female,7
2 months,A731882,Tortie,Stray,Female,7
2 months,A686542,Brown Tabby,Stray,Male,7
1 year,A664760,Brown Tabby,Stray,Male,7
1 year,A664761,Brown Tabby,Stray,Female,7
1 year,A740350,Brown Tabby,Stray,Male,7
3 months,A732655,Brown Tabby,Stray,Male,7
10 months,A677084,Orange Tabby,Stray,Male,7
1 year,A682836,Brown Tabby,Stray,Male,7
2 months,A692243,Black and White,Stray,Female,7
2 years,A736373,Brown Tabby,Stray,Male,7
8 years,A736372,Colourpoint,Stray,Male,7
2 months,A752846,Brown Tabby,Stray,Male,7
2 months,A730674,Cream Tabby,Stray,Male,7
2 months,A686160,Black and White,Owner Surrender,Male,7
9 years,A758491,Blue,Stray,Male,7
6 months,A715711,Brown Tabby,Owner Surrender,Male,7
2 years,A697322,Orange Tabby,Stray,Male,7
2 months,A761072,Gray Tabby,Stray,Female,7
2 months,A666622,Black and White,Stray,Female,7
1 month,A683136,Brown Tabby,Stray,Female,7
2 months,A729825,Orange Tabby,Stray,Male,7
2 months,A732495,Blue,Owner Surrender,Female,7
2 months,A732497,Brown Tabby,Owner Surrender,Male,7
2 months,A679173,Black,Owner Surrender,Female,7
5 years,A748130,Black,Owner Surrender,Male,7
3 years,A708094,Brown Tabby,Owner Surrender,Male,7
1 year,A742934,Black,Stray,Male,7
3 months,A734659,Black and White,Stray,Male,7
3 months,A727470,Torbie,Stray,Female,70
8 months,A729482,Brown Tabby,Owner Surrender,Male,70
3 months,A757906,Blue,Stray,Male,70
1 year,A724985,Orange Tabby,Stray,Female,70
3 years,A714319,Black,Owner Surrender,Male,70
3 months,A678085,Brown Tabby,Stray,Female,70
3 months,A684608,Black and White,Stray,Male,70
1 year,A753871,Blue,Stray,Female,70
4 months,A716962,Brown Tabby,Stray,Female,70
3 months,A753737,Black and White,Stray,Male,70
3 months,A753738,Brown Tabby,Stray,Male,70
3 months,A736677,Black,Owner Surrender,Female,70
3 months,A759663,Brown Tabby,Stray,Female,70
3 months,A725555,Black,Owner Surrender,Male,70
3 months,A678122,Black,Stray,Male,70
1 year,A667378,Brown Tabby,Stray,Male,70
3 months,A702130,Tortie,Stray,Female,70
1 year,A670463,Brown Tabby,Owner Surrender,Male,70
3 months,A678124,Black,Stray,Female,70
4 months,A677090,Colourpoint,Stray,Male,70
3 months,A678125,Brown Tabby,Stray,Female,70
2 months,A690800,Black,Stray,Male,70
3 months,A678128,Brown Tabby,Stray,Female,70
3 months,A759946,Black and White,Stray,Male,70
3 months,A759945,Tortie,Stray,Female,70
3 months,A753627,Black,Stray,Male,70
8 years,A432197,Orange Tabby,Stray,Male,70
2 months,A674737,Black,Stray,Male,70
2 months,A674736,Orange Tabby,Stray,Female,70
2 months,A674738,Cream Tabby,Stray,Male,70
2 months,A674739,Cream Tabby,Stray,Male,70
3 months,A752730,Blue,Stray,Female,70
3 months,A752732,Blue,Stray,Female,70
3 months,A712423,White,Stray,Male,70
1 year,A759817,Brown Tabby,Owner Surrender,Female,70
3 months,A730424,Brown Tabby,Stray,Male,70
3 months,A713349,Brown Tabby,Stray,Female,70
3 months,A739207,Colourpoint,Stray,Female,70
3 months,A758539,Brown Tabby,Stray,Male,70
2 months,A758581,Blue,Stray,Male,70
3 months,A739521,Brown Tabby,Stray,Male,70
3 months,A723627,Calico,Stray,Female,70
11 years,A718796,Orange Tabby,Owner Surrender,Male,70
3 months,A709135,Black,Stray,Male,70
3 months,A740218,Brown Tabby,Stray,Female,70
12 years,A712786,Black and White,Owner Surrender,Male,708
2 months,A687768,Calico,Stray,Female,71
2 months,A747195,Orange Tabby,Stray,Male,71
3 months,A678077,Brown Tabby,Stray,Female,71
3 months,A678079,Brown Tabby,Stray,Male,71
3 months,A703735,Black and White,Stray,Female,71
3 months,A703736,Black,Stray,Female,71
3 years,A698313,Black,Owner Surrender,Female,71
3 years,A736522,Brown Tabby,Owner Surrender,Female,71
3 months,A678078,Brown Tabby,Stray,Male,71
4 months,A677091,Colourpoint,Stray,Female,71
4 months,A677094,Orange Tabby,Stray,Male,71
7 years,A666866,Black and White,Owner Surrender,Male,71
4 months,A714456,Blue,Stray,Male,71
3 months,A702117,Tortie,Stray,Female,71
3 months,A681773,White,Stray,Male,71
3 months,A677989,Black,Stray,Male,71
3 months,A677991,Black,Stray,Male,71
2 months,A681542,Colourpoint,Stray,Female,71
5 years,A724001,Orange Tabby,Owner Surrender,Male,71
3 months,A752256,Cream Tabby,Stray,Female,71
3 months,A750228,Brown Tabby,Stray,Male,71
3 months,A677990,Black,Stray,Male,71
4 months,A703590,Black and White,Stray,Male,71
3 months,A677992,Orange Tabby,Stray,Male,71
5 years,A708814,Black,Owner Surrender,Male,71
3 months,A677993,Tortie,Stray,Female,71
2 months,A681340,Black and White,Stray,Male,71
2 months,A758580,Torbie,Stray,Female,71
2 months,A758582,Black,Stray,Female,71
2 months,A758583,Black,Stray,Male,71
3 months,A700208,Black,Stray,Male,71
2 months,A721239,Blue,Stray,Male,71
3 months,A677959,Blue,Stray,Female,71
1 year,A728669,Black,Stray,Female,71
3 months,A747373,Blue,Stray,Male,71
3 months,A747371,Brown Tabby,Stray,Male,71
1 year,A738580,Black,Stray,Male,71
4 months,A665662,Black and White,Stray,Male,71
3 months,A758846,Calico,Stray,Female,71
1 year,A751450,Blue,Stray,Male,71
3 months,A715340,Brown Tabby,Stray,Male,71
3 months,A715342,Brown Tabby,Stray,Female,71
8 years,A762369,Brown Tabby,Owner Surrender,Male,71
9 years,A762366,Torbie,Owner Surrender,Male,71
4 months,A732010,Black,Stray,Male,71
3 months,A730315,Brown Tabby,Stray,Male,71
4 months,A760782,Black,Stray,Male,71
3 months,A703733,Black,Stray,Female,71
8 years,A474311,Brown Tabby,Stray,Male,71
3 months,A703724,Brown Tabby,Stray,Male,71
3 months,A726727,Blue,Stray,Female,71
3 months,A761830,Blue,Owner Surrender,Female,71
2 years,A753448,Black,Owner Surrender,Male,71
4 months,A760783,Brown Tabby,Stray,Male,71
4 months,A690209,Colourpoint,Stray,Male,71
8 years,A738459,Black and White,Owner Surrender,Male,72
3 months,A725405,Black,Stray,Female,72
3 months,A725406,Brown Tabby,Stray,Male,72
3 months,A707975,Blue,Stray,Male,72
3 months,A725399,Orange Tabby,Stray,Male,72
1 year,A725396,Calico,Stray,Female,72
3 months,A753628,Black,Stray,Female,72
3 months,A682833,Colourpoint,Stray,Female,72
3 months,A710398,Black and White,Stray,Male,72
3 months,A710400,Brown Tabby,Stray,Female,72
4 years,A641116,Black and White,Owner Surrender,Male,72
3 months,A726844,Blue,Stray,Female,72
3 months,A750842,Brown Tabby,Stray,Female,72
3 months,A751140,Black and White,Owner Surrender,Female,72
3 months,A751142,Brown Tabby,Owner Surrender,Female,72
2 months,A731148,Torbie,Stray,Female,72
2 months,A731149,Orange Tabby,Stray,Male,72
2 months,A710539,Black and White,Stray,Female,72
3 months,A706315,Black,Stray,Male,72
3 months,A706316,Black,Stray,Male,72
2 months,A726071,Calico,Stray,Female,72
3 months,A712990,Silver Tabby,Stray,Female,72
2 months,A701982,Brown Tabby,Stray,Male,72
2 months,A701981,Brown Tabby,Stray,Female,72
4 months,A760496,Brown Tabby,Stray,Male,72
3 months,A700158,Brown Tabby,Stray,Male,72
3 months,A690137,Blue,Stray,Male,72
3 months,A690138,Blue,Stray,Male,72
2 months,A749601,Colourpoint,Stray,Female,72
2 months,A749603,Colourpoint,Stray,Female,72
3 months,A701794,Colourpoint,Stray,Female,72
3 months,A701792,Brown Tabby,Stray,Male,72
3 months,A701793,Colourpoint,Stray,Female,72
3 months,A726229,Orange Tabby,Stray,Male,72
4 months,A733361,Gray Tabby,Stray,Male,72
3 months,A725571,Blue,Stray,Female,72
3 months,A725575,Blue,Stray,Male,72
3 months,A726717,Brown Tabby,Stray,Female,72
2 months,A751396,Blue,Stray,Male,72
2 months,A751394,Blue,Stray,Female,72
3 months,A703684,Blue,Owner Surrender,Female,72
3 months,A714096,Brown Tabby,Stray,Female,72
3 months,A679686,Brown Tabby,Stray,Female,72
3 months,A737550,Brown Tabby,Stray,Male,72
2 years,A751392,Tortie,Stray,Female,72
3 months,A732027,Blue,Stray,Female,72
1 year,A699899,Black,Stray,Female,72
3 months,A699900,Brown Tabby,Stray,Male,72
2 months,A758207,Torbie,Stray,Female,72
3 months,A678207,Orange Tabby,Stray,Male,72
6 years,A677838,Calico,Owner Surrender,Male,72
4 months,A710108,Brown Tabby,Stray,Male,72
1 year,A677626,Black,Stray,Male,72
3 months,A737539,Brown Tabby,Stray,Male,72
3 months,A712679,Brown Tabby,Stray,Male,72
3 months,A712680,Calico,Stray,Female,72
3 months,A735495,Brown Tabby,Stray,Female,72
3 months,A735494,Torbie,Stray,Female,72
5 months,A761008,Black,Stray,Female,72
3 months,A730100,Black and White,Stray,Male,72
8 months,A735413,Brown Tabby,Owner Surrender,Male,72
2 years,A696928,Black,Stray,Male,72
5 months,A737689,Orange Tabby,Stray,Male,72
3 months,A748159,Black and White,Stray,Male,72
7 months,A671306,Orange Tabby,Stray,Male,73
2 months,A721575,Cream Tabby,Owner Surrender,Female,73
2 months,A721577,Orange Tabby,Owner Surrender,Male,73
2 months,A721576,Cream Tabby,Owner Surrender,Male,73
2 months,A725295,Brown Tabby,Stray,Female,73
2 months,A725296,Black,Stray,Female,73
3 months,A727471,Tortie,Stray,Female,73
3 months,A761726,Brown Tabby,Stray,Male,73
3 months,A727405,Black and White,Stray,Female,73
3 months,A726610,Calico,Stray,Female,73
3 months,A703317,Colourpoint,Stray,Male,73
2 months,A701985,Brown Tabby,Stray,Female,73
4 years,A745255,Tortie,Stray,Male,73
4 years,A743672,Blue,Public Assist,Female,73
12 years,A702956,Calico,Owner Surrender,Male,73
3 months,A715339,Brown Tabby,Stray,Female,73
3 months,A678169,Black and White,Stray,Male,73
3 months,A687161,Brown Tabby,Stray,Male,73
2 years,A748366,Calico,Stray,Male,73
9 years,A676012,Orange Tabby,Owner Surrender,Male,73
2 months,A701989,Black and White,Stray,Female,73
3 months,A752312,Black and White,Stray,Female,73
7 years,A699731,Black and White,Owner Surrender,Male,73
2 months,A709220,Brown Tabby,Stray,Male,73
2 months,A701984,Brown Tabby,Stray,Male,73
2 months,A701987,Brown Tabby,Stray,Female,73
2 months,A701988,Black,Stray,Male,73
3 months,A734599,Brown Tabby,Stray,Male,73
2 years,A757241,Black,Owner Surrender,Male,73
2 months,A682832,Black and White,Stray,Male,73
2 months,A682830,Blue,Stray,Male,73
3 months,A677598,Orange Tabby,Stray,Female,73
3 months,A677837,Blue,Stray,Female,73
1 year,A677835,Torbie,Stray,Female,73
3 months,A677836,Black and White,Stray,Female,73
3 months,A703297,Orange Tabby,Stray,Male,73
1 year,A679308,Calico,Stray,Female,73
2 years,A698961,Orange Tabby,Stray,Male,73
3 months,A714001,Black and White,Stray,Male,73
6 months,A719282,Blue,Owner Surrender,Male,73
3 months,A736244,Orange Tabby,Stray,Female,73
3 months,A702841,Brown Tabby,Stray,Male,73
4 years,A664505,Orange Tabby,Owner Surrender,Male,73
3 months,A704089,Black,Stray,Male,73
2 months,A687769,Brown Tabby,Stray,Female,73
3 years,A682024,Black,Stray,Male,73
8 years,A704733,Brown Tabby,Stray,Male,73
8 years,A675944,Blue,Owner Surrender,Male,73
4 months,A730286,Black,Stray,Male,73
4 months,A730290,Cream Tabby,Stray,Female,73
3 months,A667626,Cream Tabby,Stray,Female,73
9 years,A743490,Black and White,Owner Surrender,Male,73
2 months,A749598,White,Stray,Male,73
3 months,A729775,Black and White,Stray,Female,74
3 months,A725160,Black,Stray,Male,74
3 months,A725159,Black,Stray,Male,74
12 years,A762889,Orange Tabby,Owner Surrender,Male,74
2 months,A676276,Black,Stray,Female,74
3 months,A725153,Blue,Stray,Male,74
3 months,A725152,Black,Stray,Male,74
5 years,A691422,Brown Tabby,Stray,Male,74
3 years,A735220,Brown Tabby,Stray,Male,74
3 months,A690100,Brown Tabby,Stray,Female,74
2 years,A713093,Brown Tabby,Stray,Female,74
3 months,A690101,Brown Tabby,Stray,Female,74
3 months,A690102,Brown Tabby,Stray,Female,74
2 months,A747340,Blue,Public Assist,Female,74
11 months,A744132,Calico,Stray,Female,74
3 months,A736404,Brown Tabby,Stray,Male,74
3 months,A725150,Calico,Stray,Female,74
3 months,A725151,Orange Tabby,Stray,Male,74
3 months,A725161,Black,Stray,Male,74
2 months,A727643,Black,Stray,Male,74
2 months,A727642,Black,Stray,Female,74
2 months,A747338,Blue,Public Assist,Male,74
2 months,A709219,Brown Tabby,Stray,Female,74
2 months,A747339,Blue,Public Assist,Male,74
2 months,A747342,Blue,Public Assist,Male,74
3 months,A713407,Brown Tabby,Stray,Male,74
3 months,A730427,Black and White,Stray,Male,74
3 months,A730426,Black,Stray,Female,74
3 months,A758818,Colourpoint,Stray,Male,74
3 months,A713950,Calico,Stray,Female,74
3 months,A713951,Brown Tabby,Stray,Male,74
3 months,A742370,Orange Tabby,Owner Surrender,Male,74
3 months,A742371,Orange Tabby,Owner Surrender,Male,74
3 months,A678796,Calico,Stray,Female,74
3 months,A690431,Black,Stray,Female,74
5 years,A685718,Blue,Owner Surrender,Male,74
1 year,A736083,Tortie,Stray,Female,74
3 months,A724504,Blue,Stray,Male,74
1 year,A672107,Cream Tabby,Owner Surrender,Male,74
4 months,A752960,Orange Tabby,Stray,Male,74
3 months,A729218,Black,Stray,Male,74
2 months,A747200,Cream Tabby,Stray,Male,74
1 year,A702930,Calico,Stray,Female,74
2 months,A701783,Brown Tabby,Stray,Female,75
2 years,A747194,Cream Tabby,Stray,Female,75
4 months,A729668,Blue,Stray,Female,75
4 months,A717103,Orange Tabby,Stray,Male,75
3 months,A707049,Black,Stray,Male,75
4 months,A751188,Black,Stray,Male,75
3 months,A759662,Black,Stray,Male,75
3 months,A703807,Blue,Stray,Male,75
3 months,A736405,Black and White,Stray,Female,75
7 months,A759937,Black,Owner Surrender,Male,75
3 months,A726554,Black,Stray,Male,75
3 months,A726553,Orange Tabby,Stray,Male,75
3 months,A726555,Torbie,Stray,Female,75
2 years,A723752,Brown Tabby,Stray,Male,75
3 months,A741110,Brown Tabby,Stray,Male,75
2 months,A677793,Black,Owner Surrender,Female,75
3 months,A707048,Black,Stray,Male,75
4 months,A751189,Black,Stray,Male,75
3 months,A747253,Black,Stray,Male,75
1 year,A736676,Brown Tabby,Owner Surrender,Female,75
2 months,A715370,Brown Tabby,Stray,Male,75
4 months,A733669,Brown Tabby,Stray,Female,75
2 months,A715374,Calico,Stray,Female,75
8 years,A760250,Orange Tabby,Stray,Male,75
3 months,A735783,Tortie,Stray,Female,75
3 years,A729626,Tortie,Owner Surrender,Female,75
3 months,A714804,Torbie,Stray,Female,75
3 months,A714805,Calico,Stray,Female,75
4 months,A734328,Orange Tabby,Stray,Male,75
3 months,A733967,Black and White,Stray,Female,75
9 years,A736527,Blue,Owner Surrender,Female,75
5 months,A706698,Orange Tabby,Stray,Male,75
2 months,A753876,Blue,Stray,Male,75
2 months,A733353,Brown Tabby,Stray,Female,75
3 months,A703125,Brown Tabby,Stray,Female,75
1 year,A715547,Black,Owner Surrender,Male,75
2 months,A724206,Black and White,Stray,Female,75
2 months,A724208,Calico,Stray,Female,75
8 years,A684027,Colourpoint,Stray,Male,75
2 months,A712301,Blue,Stray,Male,75
2 months,A712302,Blue,Stray,Female,75
2 years,A701791,Brown Tabby,Stray,Female,75
2 months,A712300,Black and White,Stray,Female,75
1 year,A675844,Calico,Stray,Female,75
3 months,A738710,Torbie,Stray,Female,75
1 year,A734030,Black,Stray,Female,75
2 months,A749599,White,Stray,Male,75
3 months,A664291,Black,Stray,Male,75
3 months,A727842,Orange Tabby,Stray,Female,75
8 years,A714644,Black,Owner Surrender,Male,75
4 months,A724881,Silver Tabby,Stray,Male,75
4 months,A724878,Brown Tabby,Stray,Male,75
2 months,A758111,Brown Tabby,Stray,Male,75
2 years,A676767,Calico,Owner Surrender,Male,75
1 year,A751133,Brown Tabby,Owner Surrender,Female,75
3 months,A727751,Colourpoint,Stray,Male,75
3 months,A689667,Tortie,Stray,Female,75
3 months,A689668,Tortie,Stray,Female,75
3 months,A703671,Brown Tabby,Owner Surrender,Male,75
2 years,A759762,Gray Tabby,Owner Surrender,Male,75
3 months,A725037,Brown Tabby,Stray,Female,76
6 years,A620350,Blue,Owner Surrender,Male,76
2 months,A733113,Blue,Stray,Male,76
2 months,A733111,Brown Tabby,Stray,Male,76
3 years,A761942,Calico,Owner Surrender,Female,76
3 months,A757486,Blue,Owner Surrender,Male,76
3 months,A700697,Blue,Stray,Male,76
8 years,A751093,Brown Tabby,Owner Surrender,Male,76
3 months,A730083,Cream Tabby,Stray,Female,76
7 months,A760154,Black,Owner Surrender,Female,76
7 months,A760155,Black,Owner Surrender,Female,76
5 years,A753370,Tortie,Owner Surrender,Male,76
5 months,A756785,Black,Stray,Male,76
3 months,A750671,Brown Tabby,Stray,Female,76
2 months,A715373,Tortie,Stray,Female,76
1 year,A735431,Brown Tabby,Owner Surrender,Male,76
5 months,A684819,Tortie,Stray,Female,76
3 years,A729625,Blue,Owner Surrender,Female,76
2 months,A747197,Brown Tabby,Stray,Female,76
3 years,A696977,Tortie,Owner Surrender,Male,76
3 months,A730082,Black,Stray,Female,76
3 months,A754052,Torbie,Stray,Female,76
3 months,A738711,Torbie,Stray,Female,76
3 months,A713825,Brown Tabby,Stray,Male,76
3 months,A678889,Black and White,Stray,Male,76
2 months,A738649,Black and White,Stray,Male,76
2 months,A738653,Brown Tabby,Stray,Female,76
3 months,A761723,Brown Tabby,Stray,Female,76
4 months,A666551,Torbie,Stray,Female,76
3 months,A738713,Orange Tabby,Stray,Male,76
3 months,A738709,Torbie,Stray,Female,76
3 months,A738714,Torbie,Stray,Female,76
2 months,A724989,Torbie,Stray,Female,76
2 months,A758105,Brown Tabby,Stray,Male,76
2 months,A724986,Orange Tabby,Stray,Male,76
3 months,A711825,Brown Tabby,Stray,Female,76
3 months,A711824,Torbie,Stray,Female,76
3 months,A727841,Orange Tabby,Stray,Male,76
14 years,A657188,Brown Tabby,Owner Surrender,Male,76
3 months,A667365,Black and White,Stray,Male,76
3 months,A715494,Brown Tabby,Stray,Female,77
3 months,A754050,Brown Tabby,Stray,Male,77
2 months,A747168,Black,Stray,Male,77
3 months,A754051,Brown Tabby,Stray,Male,77
2 years,A676590,Brown Tabby,Public Assist,Male,77
2 months,A747170,Cream Tabby,Stray,Male,77
2 months,A747169,Orange Tabby,Stray,Male,77
2 months,A747167,Black and White,Stray,Male,77
6 years,A661049,Brown Tabby,Owner Surrender,Male,77
3 months,A712657,Black,Stray,Male,77
3 years,A581356,Black and White,Owner Surrender,Male,77
2 years,A756941,Black and White,Stray,Male,77
1 year,A746437,Brown Tabby,Owner Surrender,Male,77
4 months,A678994,Tortie,Stray,Female,77
6 years,A762275,Brown Tabby,Owner Surrender,Male,77
8 years,A756363,Orange Tabby,Owner Surrender,Male,77
6 months,A757965,Black and White,Stray,Female,77
3 months,A728727,Tortie,Owner Surrender,Female,77
3 months,A748331,Brown Tabby,Stray,Male,77
1 year,A757460,Brown Tabby,Stray,Female,77
10 months,A673977,Black and White,Owner Surrender,Female,77
3 months,A705280,Black and White,Stray,Male,77
3 months,A705277,Blue,Stray,Female,77
2 months,A712332,Black and White,Stray,Female,77
3 months,A705279,Brown Tabby,Stray,Female,77
3 months,A748201,Orange Tabby,Stray,Male,77
2 months,A707488,Tortie,Stray,Female,77
3 months,A702226,Orange Tabby,Stray,Female,77
1 year,A724224,Blue,Stray,Female,77
1 year,A738353,Tortie,Stray,Female,77
3 months,A703685,Blue,Owner Surrender,Male,78
2 years,A756274,Black,Owner Surrender,Female,78
2 months,A707900,Black,Stray,Male,78
2 months,A707486,Tortie,Stray,Female,78
1 year,A735397,Brown Tabby,Owner Surrender,Male,78
9 years,A710795,Brown Tabby,Owner Surrender,Male,78
3 months,A711464,Blue,Stray,Male,78
2 months,A704448,Torbie,Stray,Female,78
2 months,A704447,Brown Tabby,Stray,Female,78
2 months,A704445,Orange Tabby,Stray,Male,78
3 months,A724819,Brown Tabby,Stray,Female,78
4 years,A697788,Brown Tabby,Stray,Female,78
2 years,A755973,Orange Tabby,Owner Surrender,Female,78
9 years,A717677,Blue,Owner Surrender,Male,78
2 years,A718253,Tortie,Owner Surrender,Male,78
2 years,A748017,Brown Tabby,Owner Surrender,Male,78
2 years,A736525,Brown Tabby,Owner Surrender,Male,78
4 months,A736406,Black,Stray,Male,78
3 months,A750433,Orange Tabby,Stray,Female,78
3 months,A724818,Blue,Stray,Female,78
3 months,A724820,Orange Tabby,Stray,Male,78
1 year,A724817,Calico,Stray,Female,78
2 months,A702174,Black,Stray,Male,78
3 months,A723626,Orange Tabby,Stray,Male,78
3 months,A732883,Blue,Stray,Male,78
4 months,A733503,Orange Tabby,Stray,Male,78
4 months,A703514,White,Stray,Male,78
3 months,A679755,Blue,Stray,Female,78
3 months,A679754,Cream Tabby,Stray,Male,78
3 months,A703164,Calico,Stray,Female,78
3 months,A726230,Orange Tabby,Stray,Male,79
1 year,A714913,Black,Owner Surrender,Male,79
2 months,A758109,Brown Tabby,Stray,Male,79
13 years,A696575,Tortie,Owner Surrender,Male,79
3 months,A692030,Black,Stray,Male,79
3 months,A692032,Brown Tabby,Stray,Female,79
2 years,A706807,Brown Tabby,Stray,Female,79
4 months,A735346,Blue,Stray,Male,79
3 months,A754505,Brown Tabby,Stray,Male,79
1 year,A727083,Brown Tabby,Stray,Female,79
3 months,A754504,Brown Tabby,Stray,Female,79
2 months,A727087,Torbie,Stray,Female,79
2 years,A728317,Brown Tabby,Owner Surrender,Male,79
4 months,A717105,Tortie,Stray,Female,79
4 months,A750229,Brown Tabby,Stray,Male,79
3 months,A751037,Black and White,Stray,Female,79
3 months,A734598,Orange Tabby,Stray,Male,79
3 months,A724752,Black and White,Stray,Female,79
6 months,A746269,Orange Tabby,Stray,Male,79
8 months,A746270,Blue,Stray,Male,79
7 years,A683199,Black and White,Owner Surrender,Male,79
3 months,A706137,Brown Tabby,Stray,Male,79
3 months,A724751,Black and White,Stray,Male,79
4 years,A746682,Black,Owner Surrender,Male,79
3 months,A724750,Black and White,Stray,Female,79
1 year,A724749,Black and White,Stray,Female,79
3 months,A724753,Black,Stray,Female,79
5 months,A731568,Black and White,Stray,Male,79
4 years,A744570,Black,Owner Surrender,Male,79
8 months,A749586,Orange Tabby,Stray,Female,79
5 months,A706697,Orange Tabby,Stray,Male,79
2 years,A708644,Tortie,Stray,Female,79
2 months,A716928,Orange Tabby,Stray,Male,79
2 months,A716930,Cream Tabby,Stray,Male,79
2 months,A716931,White,Stray,Female,79
2 months,A716929,Orange Tabby,Stray,Female,79
2 months,A687771,Brown Tabby,Stray,Male,79
3 months,A708990,Blue,Stray,Female,79
2 months,A678870,Black,Stray,Male,79
2 months,A678871,Black and White,Stray,Female,79
2 years,A702122,White,Stray,Female,79
4 months,A735659,Brown Tabby,Stray,Male,79
4 months,A740463,Blue,Stray,Male,79
4 months,A735347,Brown Tabby,Stray,Male,79
2 months,A749402,Black,Stray,Male,79
2 months,A749397,Brown Tabby,Stray,Female,79
3 years,A738181,Tortie,Stray,Female,79
2 months,A749401,Blue,Stray,Female,79
2 months,A749400,Blue,Stray,Female,79
2 months,A687770,Torbie,Stray,Female,79
3 months,A704088,Black,Stray,Female,79
2 years,A682905,Colourpoint,Stray,Female,79
2 years,A715608,Brown Tabby,Owner Surrender,Female,79
3 years,A675574,Blue,Stray,Male,8
1 year,A759250,Brown Tabby,Stray,Female,8
2 years,A673624,Brown Tabby,Stray,Male,8
2 months,A734687,Orange Tabby,Stray,Male,8
8 months,A695921,Black,Owner Surrender,Male,8
4 months,A714534,White,Stray,Female,8
2 years,A749797,Black,Stray,Female,8
1 month,A688520,Cream Tabby,Stray,Female,8
3 months,A752954,Orange Tabby,Stray,Male,8
5 years,A743302,Orange Tabby,Stray,Male,8
11 months,A765638,Brown Tabby,Owner Surrender,Male,8
3 months,A738225,Orange Tabby,Owner Surrender,Female,8
2 months,A687482,Black,Stray,Male,8
8 months,A693351,Black and White,Owner Surrender,Female,8
1 month,A729711,Brown Tabby,Stray,Male,8
2 months,A713602,Brown Tabby,Owner Surrender,Female,8
2 months,A665580,Black,Stray,Male,8
10 years,A695172,Brown Tabby,Owner Surrender,Male,8
5 months,A673444,Colourpoint,Owner Surrender,Female,8
2 months,A754496,Black and White,Stray,Male,8
3 months,A718514,Cream Tabby,Stray,Male,8
1 year,A697193,Tortie,Stray,Male,8
8 years,A449968,Brown Tabby,Owner Surrender,Male,8
1 year,A694006,Blue,Owner Surrender,Male,8
1 month,A751611,Black,Stray,Female,8
2 months,A679081,Calico,Stray,Female,8
2 months,A759793,Brown Tabby,Stray,Male,8
4 months,A719285,Blue,Owner Surrender,Male,8
2 months,A710801,Brown Tabby,Stray,Male,8
1 year,A748051,Brown Tabby,Owner Surrender,Male,8
2 months,A752072,White,Stray,Female,8
3 years,A762227,Black and White,Owner Surrender,Male,8
2 months,A688871,Black,Stray,Female,8
2 months,A734990,Brown Tabby,Owner Surrender,Male,8
2 months,A728942,Orange Tabby,Owner Surrender,Female,8
2 months,A735902,Black and White,Stray,Female,8
2 months,A752544,Torbie,Stray,Female,8
6 years,A708613,Blue,Owner Surrender,Male,8
10 years,A693780,Calico,Owner Surrender,Male,8
2 months,A705817,Orange Tabby,Stray,Male,8
2 months,A710367,Brown Tabby,Stray,Female,8
6 months,A716008,Brown Tabby,Owner Surrender,Female,8
1 month,A713455,Black and White,Stray,Male,8
1 month,A732854,Black,Stray,Female,8
1 month,A732853,Black and White,Stray,Female,8
2 months,A686161,Black and White,Owner Surrender,Male,8
2 months,A678818,Calico,Stray,Female,8
2 months,A704971,Black,Stray,Male,8
4 months,A687258,Brown Tabby,Owner Surrender,Female,8
6 months,A718087,Orange Tabby,Stray,Male,8
6 months,A718088,Tortie,Stray,Female,8
1 year,A683798,Black and White,Owner Surrender,Female,8
3 months,A712396,Brown Tabby,Stray,Male,8
5 months,A747493,Calico,Stray,Female,8
8 years,A543040,Brown Tabby,Owner Surrender,Male,8
1 year,A756256,Torbie,Stray,Female,8
4 months,A722488,Orange Tabby,Public Assist,Male,8
3 months,A681405,Brown Tabby,Owner Surrender,Male,8
1 month,A751705,Blue,Stray,Female,8
6 months,A765778,Blue,Stray,Female,8
2 months,A667355,Brown Tabby,Stray,Female,8
3 months,A731079,Calico,Owner Surrender,Female,8
1 year,A710243,Cream Tabby,Owner Surrender,Male,8
1 year,A710246,Cream Tabby,Owner Surrender,Male,8
1 month,A751236,Blue,Stray,Female,8
9 years,A675077,Brown Tabby,Owner Surrender,Male,8
2 years,A695628,Blue,Owner Surrender,Female,8
2 months,A684648,Orange Tabby,Owner Surrender,Female,8
2 years,A758369,Black and White,Public Assist,Male,8
1 month,A707305,Blue,Stray,Male,8
3 months,A704104,Black and White,Stray,Female,8
2 years,A751647,Calico,Owner Surrender,Female,8
2 months,A737040,Orange Tabby,Owner Surrender,Male,8
3 months,A755254,Brown Tabby,Stray,Male,8
1 year,A732802,Black,Stray,Male,8
3 years,A729739,Calico,Stray,Male,8
2 months,A760266,Gray Tabby,Stray,Male,8
2 months,A734991,Brown Tabby,Owner Surrender,Male,8
